text,label
Free trial of premium anti-aging serum! Look 10 years younger in just 7 days. Pay only shipping fee.,Spam
"Your wire transfer of $12,500 is currently pending approval. Click to cancel or confirm transaction.",Spam
FINAL NOTICE: Tax refund of $480 is pending approval. Confirm your routing number immediately at http://secure-tax-refund.com,Spam
Get 500 free spins on mega slots! No deposit required. Win real cash jackpots today.,Spam
URGENT: Social Security Number compromised! Call our legal department immediately at 1-800-FAKE-NUM to prevent arrest warrant.,Spam
Reminder: The quarterly all-hands meeting will take place on Thursday at 10:00 AM in the main auditorium.,Ham
"Your appointment with Dr. Smith is confirmed for Tuesday, July 22 at 3:00 PM. Please arrive 15 minutes early.",Ham
"Act Now! Pre-approved credit card with $50,000 limit and 0% APR. No credit check required! Apply instantly.",Spam
Your Amazon account is locked due to suspicious activity. Click here to verify your credit card details.,Spam
"Hi Sriram, here is the draft blog post for our upcoming product feature announcement. Let me know your feedback.",Ham
Warning: Your cloud storage is 99% full! Upgrade to Premium 2TB now for only $1.99 or risk losing your photos.,Spam
"Dear Sriram, thank you for submitting your application for the Senior Software Engineer position. We would like to schedule an initial interview.",Ham
"ALERT: Someone attempted to login to your Apple ID from Moscow, Russia. If this wasn't you, reset password immediately.",Spam
Make $300 an hour testing mobile apps from home! No experience required. Start earning today.,Spam
Reminder: Team standup is moving to 9:30 AM starting next week to accommodate remote team members in different timezones.,Ham
Your hotel booking at Marriott Downtown for 2 nights starting August 10th is confirmed.,Ham
"Hi everyone, the company picnic is scheduled for Saturday, August 15th at Central Park. RSVP by Friday!",Ham
URGENT: Your bank account has been suspended! Click here to verify your credentials immediately: http://bit.ly/bank-security-fix,Spam
"Hi, please find the signed nondisclosure agreement attached for your records.",Ham
"Hi Rachel, can you double-check the budget figures in column C of the financial report?",Ham
"Hi Mom, just wanted to check in and see how you are doing. Let's catch up over the phone this weekend!",Ham
"RE: Payment overdue for Invoice #9842. Pay $3,450 immediately to avoid legal collections action.",Spam
"Cheap flight deals! Fly to Paris, London, Tokyo for under $150 roundtrip. Book before seats sell out.",Spam
"Good morning team, please note that office maintenance will be conducted this Saturday between 9 AM and 2 PM.",Ham
Low rate personal loans guaranteed approval! Money in your account within 24 hours. Apply now.,Spam
Lose 20 lbs in 14 days with this miracle keto pill! Doctors don't want you to know this secret weight loss formula.,Spam
Claim your complimentary iPhone 16 Pro Max! Only 3 left in stock for selected lucky users. Complete survey now.,Spam
"Hi, your rental car reservation with Hertz for San Jose Airport is confirmed.",Ham
Your subscription invoice for Spotify Family Plan ($16.99) is ready. View details in your account dashboard.,Ham
"Hey, are you free this weekend to go hiking at the national park? Weather forecast looks great!",Ham
"Exclusive clearance sale: Ray-Ban sunglasses starting at $19.99! Limited stock available, buy now before sold out.",Spam
"Hey Alex, do you have a few minutes for a quick huddle on Zoom to discuss the database migration strategy?",Ham
Your PayPal account access has been restricted due to unauthorized login attempts. Click here to verify identity.,Spam
"Hi Mark, I've updated the design specifications document with your feedback on the mobile layout.",Ham
Your eBay order #402-99823 has been shipped. Click to track package or cancel unauthorized order.,Spam
Your dry cleaning is ready for pickup at Main Street Cleaners.,Ham
Security Alert: Microsoft Account breached! Click link to lock account and scan for trojans.,Spam
"Exclusive opportunity to purchase wholesale electronics: iPhones, iPads, MacBooks at 70% below retail.",Spam
"Hi team, great work on hitting our Q2 performance targets ahead of schedule!",Ham
"Urgent assistance needed: I am Barrister James Campbell, handling $10.5M inheritance. Reply with your full name and bank info.",Spam
WARNING: Malware detected on your device! Download our antivirus shield immediately to protect your files.,Spam
You have won a brand new Tesla Model Y! Click the verification link to claim your vehicle before timer runs out.,Spam
Your monthly electric bill of $78.45 is now available online. Payment will be automatically deducted on July 25th.,Ham
Get verified checkmark on Instagram & X instantly! Guaranteed verification service for influencers and businesses.,Spam
"Hi all, please remember to lock your workstations when leaving your desk for security compliance.",Ham
"Hi, your table reservation at Bistro Italia for 4 people on Friday at 7:30 PM is confirmed.",Ham
"Get cheap Rx meds online without prescription! Pfizer Viagr4, Cial1s, Amoxil available at 80% discount. Order today!",Spam
"Hi Professor, I have a question regarding question 3 on the homework assignment due this Thursday.",Ham
"Hi David, could you please review my pull request on GitHub when you have a chance? I updated the unit tests.",Ham
"Cheap prescription drugs online! Buy generic painkillers, sleep aids, and antibiotics delivered discreetly.",Spam
Special invitation: Join private wealth management group with guaranteed 35% annual returns.,Spam
Your package delivery failed! Update your shipping address and pay $1.99 redelivery fee at http://usps-tracking-update.com,Spam
IMPORTANT: Netflix subscription suspended due to failed billing. Update payment details within 24 hours to avoid cancellation.,Spam
Your flight reservation for flight AA-1420 to San Francisco is confirmed. Confirmation code: G7X9K2.,Ham
Get a university degree online in 2 weeks! No studying or exams required. Accredited diplomas delivered to your doorstep.,Spam
"Hey, thanks for helping out with the onboarding setup for the new team members today!",Ham
"You have 1 unread secure message from Wells Fargo Security Team. Log in now to stop fraudulent transaction of $1,450.",Spam
Alert: Unusual activity on your Visa card. $899.00 charge at Target. Click here to dispute charge.,Spam
"Hi Sarah, can you send over the updated slide deck for the client presentation tomorrow morning?",Ham
Please find attached the receipt for your recent order #88492 at the Bookstore. Thank you for your purchase!,Ham
"Hi Sriram, here are the meeting notes from today's discussion on API design and data models.",Ham
"Boost your website traffic by 10,000 daily visitors! Affordable SEO package starting at $29/month.",Spam
"Earn passive income with AI arbitrage trading! Zero risk, high reward system. Sign up for free demo account.",Spam
Your monthly internet service bill of $65.00 is ready for viewing. Thank you for being a valued customer.,Ham
"Hi Sriram, thanks for submitting the code review feedback. I've addressed all comments in commit a8f92b.",Ham
"Special Discount! 90% OFF designer watches, Rolex, Omega, Gucci replicas. Free worldwide shipping on all orders!",Spam
Hot singles in your area want to meet tonight! Click to view confidential profiles and chat live.,Spam
"Hi team, the customer support queue has been cleared for today. Great job everyone!",Ham
"Dear Winner, your email address won $2,500,000 in the International Lottery 2026. Contact agent to claim your jackpot payout.",Spam
"Instant cash loans up to $5,000 deposited into your checking account within 1 hour! Bad credit accepted.",Spam
Urgent: Your domain name is expiring today! Renew immediately to prevent domain deletion and website shutdown.,Spam
"Hey, let me know if you need any assistance with the backend deployment pipeline.",Ham
